Dataset,Filename,Column,Coder,0,1,3,5,10,15,20,30,,0,1,3,5,10,15,20,30,,0,1,3,5,10,15,20,30,WORST,,0,1,3,5,10,15,20,30
IRKIS
,Global
,,VWC
,,,CoderBase,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,79.68,81.65,87.63,93.23,96.93,97.78,98.29,98.79,98.79,,18391700,18391700,18391700,18391700,18391700,18391700,18391700,18391700
,,,CoderPCA,4,4,4,8,8,16,16,16,,0.34,0.32,0.25,0.17,0.11,0.09,0.07,0.06,,40.52,42.28,50.62,59.86,71.73,75.33,77.21,80.28,80.28,,6281279,5847449,4606799,3102034,1998694,1653631,1377781,1130281
,,,CoderAPCA,16,16,32,64,128,256,256,256,,0.2,0.18,0.12,0.07,0.03,0.02,0.02,0.01,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,3736382,3375350,2274681,1245168,564961,407946,313986,222924
,,,CoderCA,16,16,32,64,128,256,256,256,,0.32,0.3,0.21,0.13,0.07,0.05,0.04,0.03,,37.29,38.02,41.70,47.88,55.44,55.39,53.54,53.02,55.44,,5958420,5446258,3901701,2389104,1267826,914520,675750,474492
,,,CoderPWLH,32,64,128,256,256,256,256,256,,0.77,0.68,0.43,0.2,0.08,0.06,0.04,0.03,,73.46,72.93,71.23,66.76,60.28,60.20,60.65,63.08,72.93,,14077670,12468078,7906589,3746216,1422408,1024952,797968,603864
,,,CoderPWLHInt,32,32,32,32,64,256,256,256,,0.28,0.28,0.25,0.22,0.13,0.07,0.03,0.02,,26.94,34.00,49.94,68.95,76.68,67.29,50.37,25.64,76.68,,5114166,5114166,4544241,4010766,2422850,1247012,632676,299776
,,,CoderFR,8,16,32,64,128,256,256,256,,0.4,0.37,0.26,0.14,0.07,0.05,0.04,0.03,,48.75,49.85,52.21,52.70,54.82,55.35,54.48,55.71,55.71,,7290060,6730854,4759281,2632290,1250487,913694,689792,503312
,,,CoderSF,,,,,,,,,,2.69,2.36,1.45,0.65,0.22,0.15,0.11,0.08,,92.46,92.23,91.49,89.63,86.33,85.69,84.88,84.09,92.23,,49549751,43467788,26735198,12008429,4133882,2850461,2076977,1401017
,,,CoderGAMPSLimit,32,64,128,256,256,256,256,256,,0.96,0.86,0.55,0.28,0.12,0.09,0.07,0.05,,78.78,78.55,77.67,76.23,74.59,74.31,74.12,73.74,78.55,,17609734,15734326,10185785,5239480,2223328,1588216,1213240,848992
NOAA-SST
,Global
,,SST
,,,CoderBase,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,39.16,71.88,86.36,91.12,95.37,96.85,97.61,98.28,98.28,,11209440,11209440,11209440,11209440,11209440,11209440,11209440,11209440
,,,CoderPCA,256,4,4,4,8,8,16,16,,0.61,0.42,0.27,0.22,0.15,0.12,0.1,0.08,,0.00,32.71,49.42,60.11,68.29,73.53,76.95,78.54,78.54,,6819419,4684623,3023775,2495151,1638219,1335371,1164661,900661
,,,CoderAPCA,4,8,32,64,128,256,256,256,,0.66,0.28,0.14,0.09,0.05,0.03,0.02,0.02,,7.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,7408940,3152121,1529501,995360,519491,353456,268400,193280
,,,CoderCA,4,8,32,64,128,128,256,256,,0.68,0.43,0.24,0.17,0.09,0.06,0.05,0.03,,9.95,34.08,43.19,46.87,50.50,51.18,51.51,50.19,51.51,,7572974,4782017,2692292,1873490,1049572,724007,553544,388016
,,,CoderPWLH,4,32,128,128,256,256,256,256,,1.24,0.57,0.26,0.16,0.08,0.06,0.04,0.03,,50.78,50.47,47.38,45.46,43.84,43.74,45.71,49.06,50.47,,13855300,6364556,2906830,1824893,924952,628216,494400,379408
,,,CoderPWLHInt,4,16,64,128,256,256,256,256,,0.64,0.33,0.15,0.1,0.05,0.03,0.03,0.02,,4.69,15.74,11.32,8.69,5.74,5.23,8.88,15.12,15.74,,7154868,3740912,1724790,1090143,551104,372960,294568,227704
,,,CoderFR,4,16,32,64,128,256,256,256,,0.66,0.44,0.24,0.17,0.09,0.07,0.05,0.04,,7.92,36.48,43.33,46.28,49.93,51.57,52.63,54.36,54.36,,7405872,4962240,2699093,1853012,1037476,729872,566552,423488
,,,CoderSF,,,,,,,,,,4.14,1.7,0.77,0.48,0.24,0.16,0.12,0.09,,85.30,83.48,82.20,81.59,80.92,80.68,80.57,80.29,83.48,,46381419,19083600,8593707,5407278,2722143,1829205,1381059,980772
,,,CoderGAMPSLimit,4,16,64,128,256,256,256,256,,2.42,0.97,0.44,0.28,0.14,0.09,0.07,0.05,,74.81,70.86,68.90,67.73,65.98,64.47,63.78,62.58,70.86,,27072554,10817574,4918736,3084405,1527134,994766,740966,516470
NOAA-ADCP
,Global
,,Vel
,,,CoderBase,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,31.78,31.78,33.20,38.93,51.56,59.10,65.10,74.07,74.07,,14696640,14696640,14696640,14696640,14696640,14696640,14696640,14696640
,,,CoderPCA,256,256,256,256,4,4,4,4,,0.68,0.68,0.68,0.68,0.65,0.6,0.54,0.44,,0.00,0.00,2.08,10.48,25.57,31.35,35.08,40.41,40.41,,10026184,10026184,10026184,10026184,9565198,8756170,7901134,6395506
,,,CoderAPCA,4,4,4,4,4,4,8,8,,0.78,0.75,0.67,0.61,0.48,0.41,0.35,0.26,,11.99,8.44,0.00,0.00,0.00,0.00,0.00,0.00,8.44,,11392240,10950848,9817226,8975798,7119580,6011200,5129695,3811105
,,,CoderCA,4,4,4,4,4,4,4,8,,0.79,0.78,0.75,0.72,0.65,0.6,0.55,0.48,,13.53,12.32,10.75,15.49,26.02,31.71,36.92,45.56,45.56,,11594946,11435080,10999988,10620602,9624292,8802884,8132312,7000495
,,,CoderPWLH,4,4,4,4,8,16,16,32,,1.86,1.82,1.71,1.62,1.37,1.18,1.01,0.75,,63.25,62.45,60.94,62.41,64.66,65.21,65.31,65.64,65.64,,27280444,26700660,25135804,23875500,20147342,17278268,14785908,11090675
,,,CoderPWLHInt,4,4,4,4,8,8,8,16,,0.73,0.73,0.7,0.67,0.59,0.51,0.45,0.34,,6.92,6.39,4.34,8.61,18.28,19.95,21.92,23.78,23.78,,10771944,10710416,10262786,9821472,8712226,7509676,6569740,4999820
,,,CoderFR,4,4,4,4,4,4,4,8,,0.76,0.76,0.74,0.73,0.68,0.63,0.59,0.5,,10.68,10.00,9.88,15.76,28.49,35.39,41.20,48.20,48.20,,11225038,11140688,10892902,10655238,9955938,9303538,8724526,7357792
,,,CoderSF,,,,,,,,,,6.13,5.93,5.42,5.04,4.13,3.5,3.01,2.26,,88.86,88.49,87.67,87.88,88.27,88.31,88.40,88.52,88.52,,90039625,87088879,79649062,74035627,60671485,51435601,44226049,33205450
,,,CoderGAMPSLimit,4,4,4,4,8,8,16,16,,3.65,3.5,3.14,2.87,2.26,1.85,1.55,1.11,,81.28,80.53,78.73,78.72,78.58,77.89,77.52,76.73,80.53,,53572420,51489724,46151710,42181810,33233844,27186290,22814686,16379982
SolarAnywhere
,Global
,,GHI
,,,CoderBase,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,22.35,23.90,28.61,32.80,41.48,47.59,52.97,62.22,62.22,,4204320,4204320,4204320,4204320,4204320,4204320,4204320,4204320
,,,CoderPCA,4,4,4,4,4,4,4,4,,0.78,0.77,0.76,0.75,0.73,0.7,0.68,0.64,,0.00,0.53,5.62,10.34,19.40,25.58,31.11,40.97,40.97,,3264814,3216634,3180544,3151114,3052564,2960854,2869954,2690884
,,,CoderAPCA,4,8,16,16,16,16,16,16,,0.83,0.76,0.71,0.67,0.59,0.52,0.47,0.38,,6.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,3474340,3199569,3001658,2825342,2460362,2203378,1977236,1588400
,,,CoderCA,8,16,16,16,16,16,16,16,,0.92,0.88,0.82,0.79,0.7,0.64,0.6,0.54,,16.03,13.23,12.93,14.48,16.46,18.14,21.50,30.11,30.11,,3888192,3687280,3447404,3303624,2945084,2691516,2518826,2272748
,,,CoderPWLH,16,16,16,16,16,16,16,16,,2.29,2.05,1.9,1.77,1.55,1.39,1.28,1.12,,66.15,62.83,62.39,62.08,62.13,62.38,63.31,66.14,66.14,,9643956,8607952,7981944,7450800,6496756,5857356,5389444,4690916
,,,CoderPWLHInt,16,16,16,16,16,16,16,16,,0.81,0.78,0.76,0.73,0.67,0.63,0.6,0.55,,4.13,2.77,5.78,8.27,12.62,16.59,21.46,31.77,31.77,,3405570,3290656,3185704,3080032,2815720,2641552,2517400,2327944
,,,CoderFR,4,4,8,8,8,8,8,8,,0.95,0.93,0.9,0.88,0.82,0.76,0.7,0.63,,17.93,17.87,20.70,23.45,28.66,30.70,33.27,39.92,39.92,,3977844,3895728,3785038,3691061,3448767,3179342,2962931,2643989
,,,CoderSF,,,,,,,,,,6.43,5.42,4.87,4.47,3.86,3.58,3.37,3.01,,87.92,85.96,85.35,84.97,84.85,85.38,86.03,87.45,87.45,,27024100,22787869,20495668,18792352,16242280,15072250,14154028,12656725
,,,CoderGAMPSLimit,16,16,16,16,16,16,16,32,,3.96,3.7,3.47,3.26,2.84,2.55,2.29,1.83,,80.37,79.42,79.41,79.41,79.40,79.41,79.42,79.37,79.42,,16634116,15544076,14575076,13718684,11946264,10701592,9609376,7701232
,,DNI
,,,CoderBase,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,24.07,27.78,34.25,38.63,46.02,51.45,56.64,64.34,64.34,,4204320,4204320,4204320,4204320,4204320,4204320,4204320,4204320
,,,CoderPCA,4,4,4,4,4,4,4,4,,0.76,0.74,0.73,0.71,0.7,0.68,0.66,0.62,,0.00,2.86,9.62,14.16,22.65,28.79,34.44,42.61,42.61,,3192197,3126017,3058637,3005777,2934287,2866547,2780837,2611937
,,,CoderAPCA,4,16,16,16,16,16,16,16,,0.79,0.72,0.66,0.61,0.54,0.49,0.43,0.36,,3.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,3317453,3036503,2764301,2580271,2269527,2041145,1823151,1499051
,,,CoderCA,16,16,16,16,16,16,16,16,,0.89,0.85,0.8,0.77,0.72,0.68,0.65,0.59,,14.73,15.11,18.14,20.57,24.58,28.14,32.82,40.05,40.05,,3743741,3576889,3376689,3248617,3009189,2840489,2713789,2500401
,,,CoderPWLH,16,16,16,16,16,32,32,32,,2.16,2.0,1.87,1.79,1.64,1.53,1.41,1.22,,64.90,63.96,64.87,65.62,67.08,68.19,69.33,70.72,70.72,,9095069,8424229,7868197,7506025,6894741,6416862,5943623,5119763
,,,CoderPWLHInt,16,16,16,16,16,16,16,16,,0.76,0.74,0.73,0.71,0.67,0.64,0.62,0.57,,0.61,2.79,9.37,13.39,19.68,24.42,29.65,37.69,37.69,,3211939,3123509,3050237,2979067,2825539,2700475,2591659,2405635
,,,CoderFR,4,8,8,8,8,8,8,8,,0.93,0.91,0.87,0.85,0.8,0.77,0.74,0.68,,18.37,20.20,24.64,27.58,32.92,37.09,41.36,47.77,47.77,,3910537,3805357,3667960,3563076,3383351,3244641,3109077,2869825
,,,CoderSF,,,,,,,,,,6.14,5.39,4.97,4.67,4.14,3.85,3.64,3.3,,87.63,86.59,86.77,86.85,86.97,87.38,88.09,89.21,89.21,,25808417,22650368,20899967,19625576,17419160,16167989,15304334,13887656
,,,CoderGAMPSLimit,16,16,16,16,16,32,32,32,,3.85,3.51,3.19,2.98,2.62,2.35,2.09,1.7,,80.27,79.41,79.41,79.41,79.41,79.36,79.25,79.00,79.41,,16179753,14745973,13424189,12531009,11023177,9889787,8785856,7138481
,,DHI
,,,CoderBase,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,22.34,22.57,28.38,32.40,39.88,46.38,52.14,61.29,61.29,,4204320,4204320,4204320,4204320,4204320,4204320,4204320,4204320
,,,CoderPCA,4,4,4,4,4,4,4,4,,0.78,0.77,0.76,0.75,0.74,0.73,0.71,0.67,,0.00,0.00,5.90,10.26,18.74,26.18,32.34,41.94,41.94,,3264917,3255527,3199937,3167147,3110507,3054077,2973947,2803367
,,,CoderAPCA,4,4,16,16,16,16,16,16,,0.82,0.78,0.72,0.68,0.6,0.54,0.48,0.39,,5.37,0.94,0.00,0.00,0.00,0.00,0.00,0.00,0.94,,3450359,3286271,3011299,2842151,2527473,2254375,2012077,1627637
,,,CoderCA,8,8,8,16,16,16,16,16,,0.92,0.9,0.85,0.82,0.75,0.71,0.67,0.61,,15.79,13.73,16.14,17.22,19.88,24.00,28.21,36.02,36.02,,3876941,3773851,3590811,3433371,3154799,2966331,2802587,2544175
,,,CoderPWLH,16,16,16,16,16,16,16,16,,2.29,2.15,1.97,1.87,1.69,1.55,1.42,1.23,,66.03,64.01,63.62,63.89,64.50,65.33,66.39,68.63,68.63,,9612135,9044651,8277567,7870655,7118815,6502631,5987159,5188807
,,,CoderPWLHInt,16,16,16,16,16,16,16,16,,0.81,0.81,0.76,0.73,0.68,0.63,0.6,0.55,,3.82,4.10,5.22,7.11,11.19,15.55,20.34,29.11,29.11,,3394561,3394561,3177107,3059843,2845955,2669411,2525747,2295995
,,,CoderFR,4,4,8,8,8,8,8,8,,0.94,0.93,0.91,0.89,0.84,0.8,0.76,0.69,,17.82,17.01,21.03,23.66,28.62,33.18,37.01,43.67,43.67,,3972703,3922771,3813034,3723230,3540905,3373764,3194468,2889592
,,,CoderSF,,,,,,,,,,6.79,6.01,5.47,5.14,4.63,4.25,3.93,3.41,,88.56,87.11,86.91,86.84,87.01,87.37,87.81,88.63,88.63,,28534724,25252190,22997915,21601361,19458284,17849912,16509989,14318279
,,,CoderGAMPSLimit,16,16,16,16,16,16,16,16,,3.94,3.84,3.48,3.28,2.92,2.6,2.32,1.88,,80.31,79.83,79.40,79.40,79.40,79.40,79.40,79.43,79.83,,16584231,16138219,14621275,13799699,12271263,10944787,9768115,7912123
ElNino
,el-nino.csv
,,Lat
,,,CoderBase,,256,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,84.04,84.04,84.18,84.89,87.66,90.11,91.39,94.24,94.24,,5466318,5466318,5466318,5466318,5466318,5466318,5466318,5466318
,,,CoderPCA,4,4,4,4,4,4,8,8,,0.25,0.25,0.25,0.24,0.21,0.18,0.16,0.12,,36.30,36.30,36.44,37.28,40.65,45.20,45.95,52.65,52.65,,1369084,1369084,1360537,1316614,1136533,986944,871257,665359
,,,CoderAPCA,16,16,16,16,16,32,32,64,,0.16,0.16,0.16,0.15,0.12,0.1,0.09,0.06,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,872153,872153,864758,825743,674513,540820,470884,315072
,,,CoderCA,8,8,8,16,16,32,32,64,,0.26,0.26,0.26,0.25,0.21,0.18,0.16,0.12,,38.28,38.28,38.50,39.34,42.36,45.64,47.12,53.19,53.19,,1412996,1412996,1406066,1361183,1170173,994868,890484,673075
,,,CoderPWLH,32,32,32,32,64,128,128,256,,0.58,0.58,0.57,0.55,0.43,0.33,0.28,0.18,,72.46,72.46,72.45,72.43,71.46,70.37,69.69,68.80,72.46,,3167233,3167233,3138423,2994834,2363642,1825001,1553419,1009724
,,,CoderPWLHInt,16,16,16,16,16,16,32,32,,0.23,0.23,0.23,0.23,0.22,0.21,0.2,0.17,,29.23,29.23,29.83,33.00,44.82,53.84,55.95,66.05,66.05,,1232374,1232374,1232374,1232374,1222453,1171545,1069021,928027
,,,CoderFR,8,8,8,8,16,16,32,64,,0.29,0.29,0.29,0.28,0.24,0.2,0.18,0.13,,45.27,45.27,45.46,46.36,49.00,50.99,51.93,56.51,56.51,,1593693,1593693,1585503,1539415,1322526,1103391,979514,724421
,,,CoderSF,,4,,,,,,,,2.04,2.04,2.02,1.92,1.48,1.13,0.95,0.61,,92.17,92.17,92.16,92.11,91.68,91.24,90.95,90.54,92.17,,11144381,11144381,11028926,10470227,8103851,6174269,5204189,3331883
,,,CoderGAMPSLimit,32,32,32,32,64,128,128,256,,0.71,0.71,0.7,0.67,0.53,0.41,0.35,0.22,,77.55,77.55,77.53,77.44,76.62,75.88,75.34,74.30,77.55,,3885026,3885026,3849284,3660569,2884844,2242069,1909221,1226150
,,Long
,,,CoderBase,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,82.64,82.95,86.96,88.25,91.35,93.44,95.07,97.63,97.63,,7951008,7951008,7951008,7951008,7951008,7951008,7951008,7951008
,,,CoderPCA,4,4,4,4,8,8,8,8,,0.27,0.27,0.22,0.2,0.16,0.14,0.11,0.08,,36.28,36.44,40.39,42.54,47.32,51.76,56.53,70.89,70.89,,2165462,2133446,1738982,1625366,1305769,1080537,901113,646313
,,,CoderAPCA,8,16,16,32,64,64,128,256,,0.17,0.17,0.13,0.12,0.09,0.07,0.05,0.02,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,1379923,1356032,1036672,933924,687834,521272,391718,188148
,,,CoderCA,8,8,16,16,32,64,64,128,,0.27,0.27,0.22,0.2,0.15,0.12,0.1,0.07,,35.99,36.21,40.12,41.25,43.50,47.28,50.83,63.83,63.83,,2155655,2125787,1731272,1589572,1217466,988706,796580,520150
,,,CoderPWLH,32,32,64,64,128,256,256,256,,0.47,0.46,0.34,0.3,0.21,0.16,0.12,0.06,,62.70,62.56,61.54,61.13,59.73,59.50,58.85,59.24,62.56,,3699297,3622113,2695716,2402728,1708096,1287012,951876,461548
,,,CoderPWLHInt,16,16,16,16,64,64,64,128,,0.25,0.24,0.24,0.22,0.18,0.16,0.14,0.11,,29.72,30.34,46.18,47.63,51.24,58.83,65.11,79.27,79.27,,1963352,1946520,1926320,1783324,1410606,1266076,1122572,907532
,,,CoderFR,8,8,16,16,32,64,64,128,,0.3,0.3,0.24,0.22,0.17,0.13,0.11,0.07,,42.43,42.61,45.75,46.48,47.77,50.84,53.49,64.72,64.72,,2396899,2362813,1910880,1745040,1316905,1060418,842266,533230
,,,CoderSF,,,,,,,,,,1.62,1.59,1.15,1.02,0.71,0.53,0.39,0.18,,89.31,89.25,88.68,88.48,87.89,87.66,87.31,86.78,89.25,,12911358,12619560,9155781,8108559,5677554,4222563,3087621,1423392
,,,CoderGAMPSLimit,16,32,64,64,128,256,256,256,,0.59,0.58,0.43,0.38,0.27,0.2,0.15,0.07,,70.53,70.46,69.55,69.16,68.15,67.67,66.97,65.87,70.46,,4683254,4591167,3405008,3028128,2159560,1612206,1185822,551286
,,Z. Wind
,,,CoderBase,,256,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,68.54,68.54,68.54,68.54,72.64,76.50,79.46,83.56,83.56,,4472442,4472442,4472442,4472442,4472442,4472442,4472442,4472442
,,,CoderPCA,256,256,256,256,256,4,4,4,,0.31,0.31,0.31,0.31,0.31,0.31,0.29,0.26,,0.00,0.00,0.00,0.00,13.02,23.75,30.33,36.58,36.58,,1406923,1406923,1406923,1406923,1406923,1378501,1318291,1159450
,,,CoderAPCA,4,4,4,4,4,4,4,8,,0.37,0.37,0.33,0.32,0.27,0.24,0.21,0.16,,15.24,15.24,5.38,0.33,0.00,0.00,0.00,0.00,15.24,,1659893,1659893,1486973,1411612,1223776,1051120,918449,735346
,,,CoderCA,4,4,4,4,4,4,4,4,,0.38,0.38,0.36,0.36,0.34,0.32,0.3,0.27,,16.98,16.98,13.60,11.90,19.05,25.87,31.04,38.12,38.12,,1694730,1694730,1628466,1596885,1511789,1418003,1331884,1188334
,,,CoderPWLH,4,4,4,4,4,8,8,16,,1.12,1.12,1.06,1.02,0.94,0.84,0.74,0.59,,72.00,72.00,70.21,69.29,70.92,71.93,72.40,72.30,72.40,,5024200,5024200,4722672,4581898,4208000,3744023,3327347,2654638
,,,CoderPWLHInt,4,4,4,4,4,4,8,8,,0.35,0.35,0.35,0.34,0.31,0.28,0.26,0.21,,8.85,8.85,8.85,6.81,12.08,17.18,21.15,21.62,21.62,,1543449,1543449,1543449,1509689,1391941,1269228,1164811,938227
,,,CoderFR,4,4,4,4,4,4,4,4,,0.36,0.36,0.36,0.35,0.34,0.33,0.31,0.28,,13.50,13.50,11.56,10.55,19.43,27.74,33.93,42.12,42.12,,1626501,1626501,1590894,1572920,1518866,1454692,1390012,1270442
,,,CoderSF,,4,,,,,,,,3.6,3.6,3.26,3.12,2.76,2.43,2.17,1.75,,91.27,91.27,90.36,89.90,90.08,90.33,90.52,90.62,91.27,,16108897,16108897,14587600,13936408,12339517,10873174,9684181,7836772
,,,CoderGAMPSLimit,4,4,4,4,4,8,8,8,,2.19,2.19,1.96,1.86,1.61,1.38,1.18,0.89,,85.66,85.66,83.96,83.09,83.00,82.92,82.54,81.56,85.66,,9809734,9809734,8772412,8320444,7199764,6153710,5259662,3987198
,,M. Wind
,,,CoderBase,,256,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,68.54,68.54,68.54,68.54,70.84,74.14,76.67,80.85,80.85,,4472442,4472442,4472442,4472442,4472442,4472442,4472442,4472442
,,,CoderPCA,256,256,256,256,256,4,4,4,,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.28,,0.00,0.00,0.00,0.00,7.32,17.59,23.75,32.07,32.07,,1406909,1406909,1406909,1406909,1406909,1403273,1368605,1260929
,,,CoderAPCA,4,4,4,4,4,4,4,4,,0.37,0.37,0.34,0.33,0.29,0.26,0.23,0.19,,15.64,15.64,7.76,5.13,0.00,0.00,0.00,0.00,15.64,,1667713,1667713,1525318,1482946,1303987,1156389,1043595,856529
,,,CoderCA,4,4,4,4,4,4,4,4,,0.38,0.38,0.37,0.37,0.35,0.33,0.32,0.29,,17.12,17.12,14.66,13.90,16.43,22.34,26.88,34.27,34.27,,1697578,1697578,1648672,1634042,1560375,1489084,1427264,1303085
,,,CoderPWLH,4,4,4,4,4,8,8,8,,1.13,1.13,1.07,1.06,0.99,0.92,0.85,0.71,,72.05,72.05,70.70,70.28,70.44,71.78,72.44,73.03,73.03,,5033023,5033023,4802041,4733299,4411289,4097728,3786740,3175805
,,,CoderPWLHInt,4,4,4,4,4,4,4,8,,0.35,0.35,0.35,0.34,0.32,0.3,0.28,0.25,,9.00,9.00,9.00,8.32,9.27,13.92,17.64,21.85,21.85,,1546108,1546108,1546108,1534659,1437232,1343441,1267099,1095947
,,,CoderFR,4,4,4,4,4,4,4,4,,0.36,0.36,0.36,0.36,0.35,0.34,0.33,0.3,,13.61,13.61,12.15,11.65,15.88,23.08,28.50,37.18,37.18,,1628535,1628535,1601486,1592444,1550182,1503278,1459487,1363545
,,,CoderSF,,4,,,,,,,,3.6,3.6,3.35,3.27,2.96,2.69,2.48,2.09,,91.27,91.27,90.60,90.39,90.15,90.40,90.58,90.82,91.27,,16109132,16109132,14965031,14638403,13232561,12047180,11078648,9331730
,,,CoderGAMPSLimit,4,4,4,4,4,4,8,8,,2.2,2.2,2.01,1.96,1.72,1.52,1.36,1.08,,85.73,85.73,84.37,83.92,83.02,83.00,82.88,82.22,85.73,,9856769,9856769,9002465,8748497,7678769,6801893,6096134,4817774
,,Humidity
,,,CoderBase,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,76.90,76.90,76.90,76.90,79.49,81.86,83.99,87.06,87.06,,4969380,4969380,4969380,4969380,4969380,4969380,4969380,4969380
